ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
10,DURANGO,30,SAN LUIS DEL CORDERO,4,5,440,308,21,3,49,3,5,114,13,6,3,1,1,1,5,0,0,2,1,0,3,0,7,0,19,1005,1856
10,DURANGO,31,SAN PEDRO DEL GALLO,5,5,294,282,0,3,59,2,1,140,11,1,8,4,0,4,2,0,0,9,3,2,2,0,4,0,26,857,1461
10,DURANGO,32,SANTA CLARA,8,11,942,749,28,66,200,21,29,653,147,31,25,11,2,13,23,2,2,77,27,4,18,0,104,0,127,3301,5278
10,DURANGO,33,SANTIAGO PAPASQUIARO,58,81,5265,4509,150,173,1218,116,264,5260,314,89,48,27,7,43,53,19,2,275,109,18,67,14,1346,14,617,20017,36302
10,DURANGO,34,SUCHIL,10,13,464,862,34,110,468,21,11,728,28,16,5,1,0,5,16,0,2,31,25,4,6,0,69,0,80,2986,5221
10,DURANGO,35,TAMAZULA,30,37,1112,1376,71,68,486,59,46,4014,111,14,13,6,0,13,18,4,1,103,54,8,29,8,40,2,246,7902,16031
10,DURANGO,36,TEPEHUANES,24,32,1267,960,30,110,330,81,32,1329,126,19,7,18,1,9,19,5,1,73,28,1,27,7,122,0,162,4764,9664
10,DURANGO,37,TLAHUALILO,23,32,2488,1466,52,28,408,64,68,3480,128,43,14,15,4,24,20,11,2,144,42,4,32,5,175,0,164,8881,14857
10,DURANGO,38,TOPIA,13,16,610,472,31,53,247,33,31,1157,80,6,5,6,0,8,17,0,0,51,22,6,24,3,36,1,97,2996,5707
10,DURANGO,39,VICENTE GUERRERO,16,31,1712,1649,58,178,843,114,33,3278,260,32,10,15,2,10,22,4,5,181,64,19,54,5,419,7,301,9275,16894
11,GUANAJUATO,,VOTO EN EL EXTRANJERO,,,1040,176,41,12,174,30,7,2589,24,108,10,10,0,12,0,2,0,284,47,2,26,5,156,6,63,4824,11532
11,GUANAJUATO,1,ABASOLO,50,117,9863,6369,377,887,1595,290,247,9688,487,153,59,56,5,60,63,18,8,462,190,18,124,33,3004,15,1010,35081,67145
11,GUANAJUATO,2,ACAMBARO,90,175,10171,3375,3314,712,2199,578,515,16258,779,228,178,44,22,45,47,14,17,634,258,53,154,36,3991,72,1807,45501,95102
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,223,23995,6600,823,1281,2150,743,764,16125,965,328,134,98,13,95,89,22,19,554,172,50,123,32,6234,42,2939,64390,126028
11,GUANAJUATO,4,APASEO EL ALTO,44,90,6221,2783,456,790,641,1914,270,8989,283,115,30,57,12,28,41,16,5,269,96,8,63,10,2137,4,1037,26275,50108
11,GUANAJUATO,5,APASEO EL GRANDE,43,113,9288,4681,298,3090,1206,323,159,9531,373,198,130,113,13,52,157,6,10,369,108,15,83,12,3399,9,1211,34834,66615
